	idx	natural_length	frequencies	natural	fcfs	caplan	fcfs_length	caplan_length
199	199	8	3	uniforms	canalita	expands	8	7
200	200	4	80	give	carborian	chemed	9	6
201	201	4	357	them	serve	polare	5	6
202	202	10	4	superhuman	sting	hanne	5	5
203	203	9	4	abilities	chiller	canalita	7	8
204	204	3	262	use	grant	carborian	5	9
205	205	4	46	rule	pressed	serve	7	5
206	206	4	327	over	sant	sting	4	5
207	207	4	44	rest	sutt	chiller	4	7
208	208	8	60	students	markete	grant	7	5
209	209	5	23	staff	tomarch	pressed	7	7
210	210	7	57	academy	specifical	sant	10	4
211	211	5	43	wales	potest	sutt	6	4
212	212	4	230	west	repeared	markete	8	7
213	213	6	4	fulton	eggross	tomarch	7	7
214	214	6	384	county	senters	specifical	7	10
215	215	8	1	birrkuda	bragery	potest	7	6
216	216	8	1	ringgitj	bone	repeared	4	8
217	217	4	45	wild	works	eggross	5	7
218	218	5	12	honey	marricate	senters	9	7
219	219	6	50	design	charming	bragery	8	7
220	220	7	7	russell	composed	bone	8	4
221	221	6	87	worked	gallernan	works	9	5
222	222	9	1	muckraker	essendation	marricate	11	9
223	223	6	20	rescue	magan	charming	5	8
224	224	2	72	me	mo	composed	2	8
225	225	13	1	kaiwilahilahi	eltermont	gallernan	9	9
226	226	6	15	stream	barming	essendation	7	11
227	227	4	44	wide	elemporary	magan	10	5
228	228	7	41	variety	nation	mo	6	2
229	229	7	105	animals	comments	eltermont	8	9
230	230	6	71	plants	arminal	barming	7	7
231	231	5	5	dixon	blains	elemporary	6	10
232	232	8	236	released	reaction	nation	8	6
233	233	3	649	her	processive	comments	10	8
234	234	5	117	third	wildshire	arminal	9	7
235	235	5	172	album	standing	blains	8	6
236	236	11	2	entertainer	bon	singers	3	7
237	237	6	844	people	backe	reaction	5	8
238	238	3	423	may	stall	processive	5	10
239	239	4	1067	also	brand	wildshire	5	9
240	240	5	137	right	promount	standing	8	8
241	241	8	27	property	villa	bon	5	3
242	242	4	339	team	share	backe	5	5
243	243	3	55	win	servator	stall	8	5
244	244	4	18	walt	rander	brand	6	5
245	245	6	33	disney	elevator	promount	8	8
246	246	8	69	pictures	breethers	villa	9	5
247	247	6	85	robert	recover	share	7	5
248	248	1	114	b	head	servator	4	8
249	249	11	4	scarborough	bender	rander	6	6
250	250	3	759	but	callin	elevator	6	8
251	251	9	291	different	explored	breethers	8	9
252	252	9	31	technical	marters	recover	7	7
253	253	10	2	viewpoints	choody	head	6	4
254	254	4	319	kitt	sister	bender	6	6
255	255	4	352	peak	sells	callin	5	6
256	256	6	381	during	arment	explored	6	8
257	257	10	6	rebellions	consisted	marters	9	7
258	258	5	7	kurds	explain	choody	7	6
259	259	4	161	took	tracks	sister	6	6
260	260	7	95	control	marches	sells	7	5
261	261	5	3	mosul	blocked	arment	7	6
262	262	1	138	t	confective	consisted	10	9
263	263	9	52	kobayashi	suppresents	contain	11	7
264	264	4	38	ones	clock	explain	5	7
265	265	4	6	java	popped	tracks	6	6
266	266	4	2	bali	astractis	marches	9	7
267	267	3	620	all	agreem	blocked	6	7
268	268	4	220	died	companent	confective	9	10
269	269	8	28	cultural	contentine	suppresents	10	11
270	270	6	125	region	tail	clock	4	5
271	271	6	28	covers	secrets	popped	7	6
272	272	6	41	larger	competing	astractis	9	9
273	273	4	249	area	deaf	agreem	4	6
274	274	6	66	valley	limble	companent	6	9
275	275	4	21	plus	wearl	contentine	5	10
276	276	8	52	virginia	foot	tail	4	4
277	277	9	9	highlands	resident	camper	8	6
278	278	7	1	roanoke	involving	secrets	9	7
279	279	5	303	south	arenth	competing	6	9
280	280	9	1	aghjabadi	saunt	deaf	5	4
281	281	1	201	j	command	limble	7	6
282	282	4	699	when	stind	wearl	5	5
283	283	2	20	cd	wreater	foot	7	4
284	284	3	794	can	arression	resident	9	8
285	285	4	208	work	secress	involving	7	9
286	286	3	3	usb	continue	arenth	8	6
287	287	5	10	flash	mineral	saunt	7	5
288	288	5	29	drive	ponemical	command	9	7
289	289	5	286	where	shares	stind	6	5
290	290	5	18	users	daria	wreater	5	7
291	291	13	4	configuration	eatheres	arression	8	9
292	292	8	33	personal	evergan	secress	7	7
293	293	4	38	data	carbinal	continue	8	8
294	294	5	12	saved	racter	mineral	6	7
295	295	5	7	nolan	brond	ponemical	5	9
296	296	10	11	frequently	wort	shares	4	6
297	297	4	32	cast	pold	daria	4	5
298	298	9	106	following	consummer	eatheres	9	8
299	299	5	129	wrote	standon	evergan	7	7
300	300	6	12	essays	contanant	carbinal	9	8
301	301	3	107	too	particles	racter	9	6
302	302	7	181	example	consenting	brond	10	5
303	303	3	5	bom	publich	wort	7	4
304	304	5	2	senso	expersing	pold	9	4
305	305	1	177	e	absterm	consummer	7	9
306	306	5	2	gosto	continominal	standon	12	7
307	307	4	142	good	probuters	contanant	9	9
308	308	5	22	sense	descorsion	particles	10	9
309	309	5	8	taste	sides	consenting	5	10
310	310	5	153	began	andical	publich	7	7
311	311	6	1	bytown	call	expersing	4	9
312	312	6	349	became	everal	absterm	6	7
313	313	6	19	ottawa	sied	consisted	4	9
314	314	6	3	cranes	moment	continominal	6	12
315	315	4	79	able	warder	probuters	6	9
316	316	6	14	defend	presentation	descorsion	12	10
317	317	10	52	themselves	companite	sides	9	5
318	318	5	23	quite	regents	andical	7	7
319	319	4	552	more	explosed	call	8	4
320	320	5	424	these	counted	everal	7	6
321	321	8	21	magnetic	came	sied	4	4
322	322	6	27	fields	clease	moment	6	6
323	323	4	6	trap	filed	warder	5	6
324	324	9	15	particles	compay	presentation	6	12
325	325	5	24	solar	partine	companite	7	9
326	326	4	38	wind	presention	regents	10	7
327	327	5	742	other	track	explosed	5	8
328	328	7	26	sources	mosky	counted	5	7
329	329	8	25	creating	provider	came	8	4
330	330	5	2	belts	provise	clease	7	6
331	331	3	45	van	manosham	filed	8	5
332	332	5	21	allen	ready	compay	5	6
333	333	9	13	radiation	capite	partine	6	7
334	334	4	11	belt	drums	presention	5	10
335	335	12	37	philadelphia	prefecture	track	10	5
336	336	7	97	thought	gamber	mosky	6	5
337	337	6	94	should	find	provider	4	8
338	338	2	290	do	achine	provise	6	7
339	339	5	6	raise	tarest	manosham	6	8
340	340	5	115	money	reprive	ready	7	5
341	341	6	493	united	manchologa	capite	10	6
342	342	6	435	states	mosity	drums	6	5
343	343	8	3	sanitary	series	prefecture	6	10
344	344	10	30	commission	diffectures	gamber	11	6
345	345	6	5	hayley	lest	find	4	4
346	346	6	1	haylee	manchalis	achine	9	6
347	347	7	95	college	trans	tarest	5	6
348	348	4	181	much	carpos	reprive	6	7
349	349	7	27	liberal	timer	shares	5	6
350	350	2	261	us	provision	manchologa	9	10
351	351	7	137	million	cante	mosity	5	6
352	352	4	1426	this	convection	series	10	6
353	353	9	170	important	graffars	diffectures	8	11
354	354	4	373	part	wing	lest	4	4
355	355	4	220	life	transporter	starring	11	8
356	356	7	127	episode	servatory	manchalis	9	9
357	357	5	5	bound	governing	trans	9	5
358	358	11	1	cradleboard	proform	carpos	7	6
359	359	6	37	effect	consumpted	timer	10	5
360	360	2	2649	on	starer	provision	6	9
361	361	6	90	mother	arton	cante	5	5
362	362	6	3	infant	bear	convection	4	10
363	363	11	4	interaction	pollin	graffars	6	8
364	364	7	66	studied	allenden	wing	8	4
365	365	6	2	navajo	constince	transporter	9	11
366	366	11	15	communities	extanding	servatory	9	9
367	367	4	124	form	seristian	governing	9	9
368	368	11	3	proletariat	contromers	proform	10	7
369	369	3	40	try	transports	consumpted	10	10
370	370	5	1	adapt	attrack	starer	7	6
371	371	3	188	old	hard	arton	4	5
372	372	9	12	governing	serva	bear	5	4
373	373	6	181	system	trains	pollin	6	6
374	374	3	690	new	pusian	allenden	6	8
375	375	6	82	social	colcuration	constince	11	9
376	376	10	9	situations	compete	extanding	7	9
377	377	7	7	sailing	registration	seristian	12	9
378	378	6	218	around	considers	contromers	9	10
379	379	5	488	world	bellow	transports	6	10
380	380	4	66	here	cardina	attrack	7	7
381	381	5	77	comes	warns	hard	5	4
382	382	3	126	big	constairs	serva	9	5
383	383	3	156	red	sames	trains	5	6
384	384	3	85	car	relation	pusian	8	6
385	385	4	596	time	cansting	colcuration	8	11
386	386	4	5	wake	presse	compete	6	7
387	387	2	411	up	composity	registration	9	12
388	388	4	17	jeff	everor	considers	6	9
389	389	5	724	there	pown	bellow	4	6
390	390	5	198	large	cant	cardina	4	7
391	391	5	5	casts	bunds	warns	5	5
392	392	4	711	many	shero	constairs	5	9
393	393	7	13	singers	advincide	sames	9	5
394	394	6	33	taking	prise	relation	5	8
395	395	10	6	orchestras	fortus	cansting	6	8
396	396	4	30	grew	carch	presse	5	6
397	397	4	473	into	prisoned	composity	8	9
398	398	9	35	companies	perimine	everor	8	6
399	399	8	19	recently	deferter	pown	8	4
400	400	7	17	starred	experts	cant	7	4
401	401	6	7	voyage	activity	bunds	8	5
402	402	4	12	dawn	mond	shero	4	5
403	403	7	1	treader	rance	advincide	5	9
404	404	11	2	installment	regular	prise	7	5
405	405	10	6	chronicles	merganian	fortus	9	6
406	406	6	2	narnia	parks	carch	5	5
407	407	5	255	movie	candage	prisoned	7	8
408	408	6	251	series	carro	perimine	5	8
409	409	4	1135	were	cherine	deferter	7	8
410	410	7	25	younger	come	experts	4	7
411	411	1	115	m	perestino	activity	9	8
412	412	1	162	w	carable	mond	7	4
413	413	4	5	buie	champed	rance	7	5
414	414	2	1582	at	artis	regular	5	7
415	415	4	398	only	alleed	comments	6	8
416	416	6	142	things	horder	merganian	6	9
417	417	5	28	owned	androd	parks	6	5
418	418	4	20	pair	seging	candage	6	7
419	419	8	2	trousers	archievol	carro	9	5
420	420	5	9	shirt	consured	cherine	8	7
421	421	5	4	boots	migners	come	7	4
422	422	5	1	strap	resperated	perestino	10	9
423	423	3	15	hat	sear	carable	4	7
424	424	3	2	aya	connective	champed	10	7
425	425	4	138	does	comminted	artis	9	5
426	426	7	70	parents	player	alleed	6	6
427	427	7	7	anymore	arch	horder	4	6
428	428	10	19	businesses	commination	androd	11	6
429	429	5	16	hired	arab	seging	4	6
430	430	5	16	armed	allier	archievol	6	9
431	431	8	3	militias	parals	consured	6	8
432	432	8	44	security	commeter	migners	8	7
433	433	5	117	silla	conserve	resperated	8	10
434	434	4	2	oita	exproint	sear	8	4
435	435	7	2	trinita	aradon	connective	6	10
436	436	3	636	who	strition	comminted	8	9
437	437	9	1	subscribe	sellery	player	7	6
438	438	3	56	pay	presenting	arch	10	4
439	439	3	101	see	compan	commination	6	11
440	440	4	213	what	see	arab	3	4
441	441	4	265	make	reeding	allier	7	6
442	442	4	18	fans	arorse	parals	6	6
443	443	5	120	early	catton	commeter	6	8
444	444	8	40	electric	colors	conserve	6	8
445	445	12	1	refrigerator	servies	exproint	7	8
446	446	4	13	jane	instanting	aradon	10	6
447	447	6	3	austen	grand	strition	5	8
448	448	7	206	started	acponics	sellery	8	7
449	449	4	26	feel	diana	presenting	5	10
450	450	12	4	increasingly	leve	compan	4	6
451	451	6	1	unwell	continuity	series	10	6
452	452	4	285	year	starents	see	8	3
453	453	5	26	novel	backer	reeding	6	7
454	454	9	86	published	bad	arorse	3	6
455	455	5	44	month	rickes	catton	6	6
456	456	5	70	least	cangle	colors	6	6
457	457	8	15	rainfall	chends	servies	6	7
458	458	7	76	average	companism	instanting	9	10
459	459	7	158	january	armon	grand	5	5
460	460	6	290	second	harding	acponics	7	8
461	461	4	145	july	carring	diana	7	5
462	462	6	1	hesiod	evaluation	leve	10	4
463	463	5	52	names	lay	continuity	3	10
464	464	5	345	three	feed	starents	4	8
465	465	6	1	stheno	heart	backer	5	6
466	466	8	34	powerful	landa	bad	5	3
467	467	7	1	euryale	amman	rickes	5	6
468	468	5	211	could	seal	cangle	4	6
469	469	4	12	jump	taches	chends	6	6
470	470	3	56	far	exploics	companism	8	9
471	471	7	19	trouble	tenning	provided	7	8
472	472	6	1	ridden	sillers	armon	7	5
473	473	6	1	medusa	reported	share	8	5
474	474	5	66	queen	serversia	harding	9	7
475	475	5	717	after	continent	continue	9	8
476	476	4	154	play	fared	carring	5	7
477	477	8	1	clifford	mim	evaluation	3	10
478	478	7	45	retired	hoster	lay	6	3
479	479	7	78	playing	presigned	feed	9	4
480	480	12	56	professional	archiovage	heart	10	5
481	481	3	70	ice	consure	landa	7	5
482	482	6	66	hockey	disherious	amman	10	5
483	483	8	8	midnight	provence	seal	8	4
484	484	7	15	express	tralin	signed	6	6
485	485	6	1	shinto	spend	taches	5	6
486	486	6	11	shrine	metres	exploics	6	8
487	487	5	176	named	pensicular	tenning	10	7
488	488	11	1	itsukushima	continumental	employer	13	8
489	489	8	1	rounders	lave	sillers	4	7
490	490	5	42	frank	segent	reported	6	8
491	491	8	7	chambers	concerting	serversia	10	9
492	492	7	99	current	worth	race	5	4
493	493	6	3	holder	arrivan	continent	7	9
494	494	4	124	club	andis	fared	5	5
495	495	9	8	nadeshiko	picked	mim	6	3
496	496	5	82	title	controcession	hoster	13	6
497	497	3	29	row	exhitus	presigned	7	9
498	498	4	34	goal	chandan	archiovage	7	10
499	499	4	68	move	servan	consure	6	7
500	500	5	44	fight	revacual	disherious	8	10
501	501	7	224	against	bard	provence	4	8
502	502	14	15	discrimination	artonic	tralin	7	6
503	503	7	31	towards	terro	spend	5	5
504	504	7	61	african	arrick	metres	6	6
505	505	8	382	american	hairs	pensicular	5	10
506	506	8	62	soldiers	constected	continumental	10	13
507	507	8	45	families	conscant	lave	8	4
508	508	8	1	capuchin	contrommend	segent	11	6
509	509	5	280	group	suller	concerting	6	10
510	510	2	1196	be	pable	worth	5	5
511	511	10	10	protective	lust	servance	4	8
512	512	9	59	territory	balms	arrivan	5	7
513	513	7	7	marking	spects	andis	6	5
514	514	7	105	central	electroment	picked	11	6
515	515	5	2	urine	strance	controcession	7	13
516	516	9	4	defending	genende	exhitus	7	7
517	517	9	1	intruders	argent	chandan	6	7
518	518	9	2	cosmetics	leeply	servan	6	6
519	519	11	1	pearlescent	rened	revacual	5	8
520	520	7	2	coating	dreed	bard	5	4
521	521	5	62	super	stard	artonic	5	7
522	522	8	20	combined	extaining	terro	9	5
523	523	5	7	raced	telivations	arrick	11	6
524	524	4	7	aunt	commember	hairs	9	5
525	525	3	17	dan	delate	constected	6	10
526	526	5	4	lemon	eleval	conscant	6	8
527	527	7	84	michael	champing	contrommend	8	11
528	528	5	4	caine	modes	suller	5	6
529	529	7	161	october	consition	starts	9	6
530	530	7	51	reached	governs	pable	7	5
531	531	6	227	number	concerts	lust	8	4
532	532	8	343	national	histance	care	8	4
533	533	7	94	singles	tradish	balms	7	5
534	534	5	92	chart	panks	spects	5	6
535	535	2	68	uk	sandard	electroment	7	11
536	536	5	110	again	bett	strance	4	7
537	537	6	141	single	protection	genende	10	7
538	538	6	41	pieces	castrage	argent	8	6
539	539	6	10	vocals	composition	fight	11	5
540	540	4	43	plan	sprim	leeply	5	6
541	541	4	1	odds	defected	rened	8	5
542	542	3	799	had	northwest	dreed	9	5
543	543	6	9	rapper	seems	stard	5	5
544	544	4	2	kano	harded	extaining	6	9
545	545	5	120	major	humonio	telivations	7	11
546	546	6	69	cities	calting	commember	7	9
547	547	10	2	chittagong	restually	delate	9	6
548	548	6	1	khulna	pon	signing	3	7
549	549	8	1	rajshahi	expositing	eleval	10	6
550	550	6	3	sylhet	spectorial	champing	10	8
551	551	7	1	barisal	andine	modes	6	5
552	552	5	1	bogra	bracked	consition	7	9
553	553	7	1	comilla	attant	composity	6	9
554	554	10	3	mymensingh	propointed	governs	10	7
555	555	7	3	rangpur	boruse	concerts	6	8
556	556	1	272	i	earn	histance	4	8
557	557	7	111	capital	commands	tradish	8	7
558	558	4	44	port	secores	panks	7	5
559	559	7	1	iquique	distated	sandard	8	7
560	560	5	872	first	tragning	bett	8	4
561	561	10	10	bundesliga	total	protection	5	10
562	562	3	19	fat	collegent	castrage	9	8
563	563	2	1295	or	reads	composition	5	11
564	564	4	3	roly	trip	sprim	4	5
565	565	4	4	poly	adosted	sing	7	4
566	566	9	11	describes	composes	defected	8	8
567	567	7	67	himself	tarletne	northwest	8	9
568	568	4	72	wife	rears	seems	5	5
569	569	7	1	oceanus	experedly	harded	9	6
570	570	6	44	rivers	contention	humonio	10	7
571	571	9	1	fountains	learn	calting	5	7
572	572	6	13	clouds	bander	continue	6	8
573	573	5	99	roman	complete	restually	8	9
574	574	9	9	catholics	playor	pon	6	3
575	575	7	1	profess	trick	serve	5	5
576	576	9	1	heterodox	execution	expositing	9	10
577	577	5	14	views	servise	spectorial	7	10
578	578	6	59	either	later	andine	5	6
579	579	9	2	doctrinal	stars	bracked	5	7
580	580	6	21	issues	flows	attant	5	6
581	581	7	83	service	despects	propointed	8	10
582	582	4	197	show	bull	boruse	4	6
583	583	9	2	averaging	reserveded	earn	10	4
584	584	6	40	nearly	wards	commands	5	8
585	585	7	4	viewers	mentimates	secores	10	7
586	586	9	1	threefold	astronomich	distated	11	8
587	587	5	227	since	electronicle	tragning	12	8
588	588	5	95	shows	charce	total	6	5
589	589	9	1	inception	millers	collegent	7	9
590	590	6	51	comedy	breeaster	reads	9	5
591	591	9	44	available	sectivity	trip	9	4
592	592	10	11	households	battle	adosted	6	7
593	593	5	56	latin	position	composes	8	8
594	594	5	9	prose	consicient	concerting	10	10
595	595	9	18	wikipedia	times	tarletne	5	8
596	596	9	2	guideline	conficting	rears	10	5
597	597	6	9	manual	trails	experedly	6	9
598	598	5	78	style	edgo	contention	4	10
599	599	8	44	williams	platic	learn	6	5
600	600	9	5	dominated	genera	bander	6	6
601	601	6	38	active	sterman	complete	7	8
602	602	10	5	suspension	tared	playor	5	6
603	603	8	1	benetton	brown	trick	5	5
604	604	7	45	quickly	anand	execution	5	9
605	605	7	84	similar	figure	servise	6	7
606	606	5	137	match	senting	later	7	5
607	607	6	12	gandhi	residental	stars	10	5
608	608	7	32	leading	domendarly	flows	10	5
609	609	9	14	followers	gain	despects	4	8
610	610	4	23	salt	centine	bull	7	4
611	611	5	166	march	heard	reserveded	5	10
612	612	5	37	break	bel	wards	3	5
613	613	7	188	british	explence	mentimates	8	10
614	614	4	68	laws	pattage	astronomich	7	11
615	615	4	3	slot	grands	electronicle	6	12
616	616	8	15	machines	react	charce	5	6
617	617	8	13	currency	batter	millers	6	7
618	618	8	3	detector	manala	breeaster	6	9
619	619	7	2	detects	serie	sectivity	5	9
620	620	2	298	if	ricke	battle	5	6
621	621	5	9	coins	high	position	4	8
622	622	5	36	notes	carrield	consicient	8	10
623	623	6	15	values	designed	times	8	5
624	624	7	3	pursued	master	feet	6	4
625	625	10	1	aggressive	specialism	conficting	10	10
626	626	4	21	door	equection	trails	9	6
627	627	8	10	strategy	pounities	land	9	4
628	628	3	89	put	rom	edgo	3	4
629	629	7	65	numbers	ance	platic	4	6
630	630	5	80	green	distrects	genera	9	6
631	631	4	5	yard	lar	sterman	3	7
632	632	5	17	signs	preference	tared	10	5
633	633	8	17	swimming	might	brown	5	5
